DATE OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex
02/05/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
03/13/2025 12:00:00 AM,Harbor,VEHICLE - STOLEN,0,
01/16/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/08/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
01/16/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/11/2025 12:00:00 AM,Southeast,THEFT PLAIN - PETTY ($950 & UNDER),0,X
02/22/2025 12:00:00 AM,Olympic,OTHER MISCELLANEOUS CRIME,0,X
02/07/2025 12:00:00 AM,Foothill,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,M
01/26/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/11/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
01/27/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/12/2025 12:00:00 AM,West Valley,BATTERY - SIMPLE ASSAULT,16,M
02/01/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/05/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/17/2025 12:00:00 AM,Newton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",14,F
02/21/2025 12:00:00 AM,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,F
01/26/2025 12:00:00 AM,Pacific,VEHICLE - STOLEN,0,
03/20/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/17/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/28/2025 12:00:00 AM,Devonshire,BATTERY - SIMPLE ASSAULT,16,M
02/07/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/02/2025 12:00:00 AM,Northeast,BATTERY - SIMPLE ASSAULT,25,F
01/21/2025 12:00:00 AM,Harbor,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,
02/08/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
02/07/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
03/25/2025 12:00:00 AM,Hollenbeck,ROBBERY,14,M
03/20/2025 12:00:00 AM,Hollenbeck,ROBBERY,16,M
01/29/2025 12:00:00 AM,Northeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",17,M
03/11/2025 12:00:00 AM,Southeast,BATTERY - SIMPLE ASSAULT,17,F
03/12/2025 12:00:00 AM,Devonshire,CRIMINAL THREATS - NO WEAPON DISPLAYED,16,M
02/26/2025 12:00:00 AM,Southwest,VEHICLE - STOLEN,0,
01/15/2025 12:00:00 AM,Devonshire,INDECENT EXPOSURE,17,F
02/26/2025 12:00:00 AM,Foothill,VEHICLE - STOLEN,0,
01/26/2025 12:00:00 AM,Southwest,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0,
03/18/2025 12:00:00 AM,Hollenbeck,BURGLARY,0,X
01/16/2025 12:00:00 AM,Southeast,THEFT PLAIN - PETTY ($950 & UNDER),0,X
